iter	Passed	Remaining
0	63	63314
1	69	34850
2	77	25825
3	87	21756
4	94	18733
5	99	16547
6	105	14901
7	110	13706
8	117	12950
9	123	12222
10	130	11747
11	135	11192
12	143	10862
13	148	10457
14	154	10142
15	160	9883
16	165	9583
17	170	9317
18	177	9164
19	183	8979
20	188	8767
21	194	8629
22	200	8498
23	205	8364
24	213	8327
25	219	8204
26	226	8175
27	234	8127
28	239	8034
29	245	7945
30	250	7830
31	255	7737
32	261	7652
33	265	7553
34	272	7511
35	277	7434
36	283	7373
37	288	7302
38	294	7252
39	300	7203
40	306	7176
41	313	7160
42	319	7121
43	325	7067
44	329	7000
45	334	6939
46	342	6937
47	346	6876
48	352	6848
49	358	6808
50	363	6756
51	367	6703
52	373	6676
53	378	6629
54	382	6580
55	388	6541
56	393	6509
57	398	6478
58	407	6492
59	413	6474
60	419	6457
61	425	6444
62	430	6398
63	435	6362
64	441	6351
65	446	6323
66	454	6326
67	459	6297
68	464	6269
69	470	6253
70	475	6221
71	481	6207
72	492	6254
73	500	6259
74	509	6285
75	515	6269
76	524	6284
77	531	6280
78	541	6308
79	547	6298
80	554	6293
81	561	6289
82	570	6305
83	577	6299
84	587	6324
85	598	6356
86	606	6359
87	611	6341
88	623	6386
89	632	6391
90	641	6406
91	652	6437
92	661	6448
93	671	6476
94	678	6463
95	686	6461
96	696	6479
97	704	6488
98	716	6518
99	727	6547
100	739	6578
101	758	6677
102	770	6706
103	779	6717
104	788	6721
105	797	6724
106	803	6708
107	810	6690
108	818	6691
109	825	6676
110	831	6657
111	837	6637
112	842	6610
113	847	6589
114	856	6588
115	862	6569
116	867	6545
117	872	6524
118	879	6510
119	884	6489
120	890	6470
121	896	6452
122	901	6426
123	910	6431
124	921	6451
125	930	6455
126	941	6474
127	951	6480
128	959	6478
129	966	6466
130	973	6458
131	984	6475
132	993	6473
133	1000	6463
134	1005	6442
135	1014	6446
136	1021	6434
137	1029	6432
138	1034	6410
139	1040	6389
140	1050	6398
141	1058	6398
142	1065	6386
143	1071	6367
144	1078	6358
145	1084	6343
146	1092	6337
147	1102	6348
148	1115	6372
149	1126	6382
150	1133	6374
151	1145	6392
152	1156	6404
153	1167	6411
154	1175	6408
155	1183	6401
156	1189	6387
157	1196	6378
158	1202	6361
159	1212	6368
160	1220	6360
161	1230	6364
162	1247	6407
163	1257	6412
164	1272	6440
165	1294	6501
166	1309	6530
167	1321	6545
168	1336	6571
169	1348	6585
170	1358	6587
171	1373	6612
172	1390	6644
173	1403	6660
174	1415	6674
175	1425	6674
176	1438	6687
177	1452	6706
178	1461	6703
179	1474	6717
180	1488	6735
181	1502	6754
182	1512	6751
183	1526	6768
184	1535	6766
185	1545	6762
186	1552	6751
187	1562	6749
188	1571	6742
189	1581	6743
190	1589	6733
191	1598	6726
192	1607	6721
193	1614	6706
194	1622	6696
195	1629	6684
196	1635	6666
197	1642	6653
198	1647	6633
199	1654	6618
200	1662	6608
201	1676	6621
202	1686	6620
203	1696	6621
204	1702	6600
205	1709	6587
206	1715	6570
207	1721	6553
208	1734	6564
209	1745	6565
210	1752	6553
211	1761	6545
212	1767	6532
213	1773	6515
214	1785	6519
215	1793	6509
216	1800	6496
217	1806	6481
218	1812	6464
219	1819	6451
220	1827	6440
221	1833	6426
222	1839	6410
223	1845	6393
224	1851	6376
225	1857	6360
226	1862	6343
227	1868	6326
228	1874	6310
229	1879	6293
230	1888	6287
231	1896	6278
232	1904	6268
